Player	Tm	Age	Pos	G	Pts	Pts/G
Harrison Butker	KAN	24		16	147	9.2
Wil Lutz*	NOR	25		16	144	9
Justin Tucker*+	BAL	30		16	141	8.8
Zane Gonzalez	ARI	24		16	127	7.9
Matt Gay	TAM	25		16	124	7.8
Dan Bailey	MIN	31		16	121	7.6
Josh Lambo	JAX	29		16	118	7.4
Christian McCaffrey *+	CAR	23	RB	16	116	7.3
Chris Boswell	PIT	28		16	115	7.2
Aaron Jones	GNB	25	RB	16	114	7.1
Greg Zuerlein	LAR	32	k	16	114	7.1
Matt Prater	DET	35		16	113	7.1
Brandon McManus	DEN	28		16	112	7
Robbie Gould	SFO	37		13	110	8.5
Jason Myers	SEA	28		16	109	6.8
Derrick Henry *	TEN	25	RB	15	108	7.2
Mason Crosby	GNB	35		16	106	6.6
Joey Slye	CAR	23		16	106	6.6
Randy Bullock	CIN	30		16	105	6.6
Austin Seibert	CLE	23		16	105	6.6
Jason Sanders	MIA	24		16	104	6.5
Jake Elliott	PHI	24		16	101	6.3
Ka'imi Fairbairn	HOU	25		16	100	6.3
Stephen Hauschka	BUF	34		16	96	6
Dustin Hopkins	WAS	29		16	96	6
Brett Maher	DAL	30		13	96	7.4
Eddy Pineiro	CHI	24		16	96	6
Mark Ingram*	BAL	30	RB	15	94	6.3
Daniel Carlson	OAK	24		16	91	5.7
Todd Gurley	LAR	25	RB	15	86	5.7
Ezekiel Elliott*	DAL	24	RB	16	84	5.3
Younghoe Koo	ATL	25		8	84	10.5
Sam Ficken	NYJ	27		15	80	5.3
Chase McLaughlin	3TM	23		11	80	7.3
Dalvin Cook*	MIN	24	RB	14	78	5.6
Adam Vinatieri	IND	47	k	12	73	6.1
Aldrick Rosas	NYG	25		16	71	4.4
Austin Ekeler	LAC	24	rb	16	66	4.1
Kenny Golladay*	DET	26	WR	16	66	4.1
Mark Andrews*	BAL	23		15	60	4
Cooper Kupp	LAR	26	WR	16	60	3.8
Raheem Mostert	SFO	27		16	60	3.8
Michael Badgley	LAC	24		8	58	7.3
Josh Allen	BUF	23	QB	16	56	3.5
Chris Godwin*	TAM	23	WR	14	56	4
A.J. Brown	TEN	22	WR	16	54	3.4
Chris Carson	SEA	25	RB	15	54	3.6
Jared Cook*	NOR	32	te	14	54	3.9
Nick Folk	NWE	35		7	54	7.7
Melvin Gordon	LAC	26	RB	12	54	4.5
Marvin Jones	DET	29	WR	13	54	4.2
DeVante Parker	MIA	26	WR	16	54	3.4
Michael Thomas*+	NOR	26	WR	16	54	3.4
