Player	Age	Tm	Pos	GP	G	A	PTS	+/-	PIM
Justin Abdelkader	32	DET	LW	49	0	3	3	-14	25
Pontus Aberg	26	TOR	LW	5	0	1	1	0	0
Vitaly Abramov	21	OTT	RW	2	1	0	1	0	2
Noel Acciari	28	FLA	C	66	20	7	27	2	21
Andrew Agozzino	29	TOT	LW	22	1	2	3	3	4
Andrew Agozzino	29	PIT	LW	17	0	2	2	0	4
Andrew Agozzino	29	ANA	LW	5	1	0	1	3	0
Sebastian Aho	22	CAR	F	68	38	28	66	10	26
Karl Alzner	31	MTL	D	4	0	0	0	-1	0
Michael Amadio	23	LAK	C	68	6	10	16	-11	10
Joey Anderson	21	NJD	RW	18	4	2	6	1	2
Josh Anderson	25	CBJ	RW	26	1	3	4	-8	17
Michael Anderson	20	LAK	D	6	1	0	1	4	0
Jaret Anderson-Dolan	20	LAK	C	4	0	0	0	-1	0
Lias Andersson	21	NYR	C	17	0	1	1	-8	4
Rasmus Andersson	23	CGY	D	70	5	17	22	-7	57
Andy Andreoff	28	PHI	LW	14	0	1	1	-3	2
Anthony Angello	23	PIT	C	8	1	0	1	-1	4
Artem Anisimov	31	OTT	C	49	15	5	20	-15	8
Mason Appleton	24	WPG	C	46	5	3	8	-9	20
Josh Archibald	27	EDM	RW	62	12	9	21	-8	12
Joel Armia	26	MTL	RW	58	16	14	30	2	28
Viktor Arvidsson	26	NSH	LW	57	15	13	28	-4	26
Rasmus Asplund	22	BUF	F	29	1	2	3	-4	6
Zach Aston-Reese	25	PIT	C	57	6	7	13	6	28
Andreas Athanasiou	25	TOT	C	55	11	15	26	-46	30
Andreas Athanasiou	25	DET	C	46	10	14	24	-45	26
Andreas Athanasiou	25	EDM	C	9	1	1	2	-1	4
Cam Atkinson	30	CBJ	RW	44	12	14	26	2	6
Nicolas Aube-Kubel	23	PHI	RW	36	7	8	15	1	19
David Backes	35	TOT	C	22	1	5	6	-1	22
David Backes	35	BOS	C	16	1	2	3	-2	16
David Backes	35	ANA	C	6	0	3	3	1	6
Mikael Backlund	30	CGY	C	70	16	29	45	3	26
Nicklas Backstrom	32	WSH	C	61	12	42	54	-1	14
Sven Baertschi	27	VAN	LW	6	0	2	2	-2	4
Josh Bailey	30	NYI	C	68	14	29	43	-12	10
Justin Bailey	24	VAN	RW	2	0	0	0	0	0
Rudolfs Balcers	22	OTT	LW	15	1	2	3	-2	0
Ivan Barbashev	24	STL	C	69	11	15	26	3	23
Riley Barber	25	MTL	RW	9	0	0	0	-1	2
Mark Barberio	29	COL	D	21	0	2	2	3	16
Cole Bardreau	26	NYI	F	10	1	1	2	-2	6
Aleksander Barkov	24	FLA	C	66	20	42	62	2	18
Tyson Barrie	28	TOR	D	70	5	34	39	-7	16
Mathew Barzal	22	NYI	C	68	19	41	60	5	44
Drake Batherson	21	OTT	C	23	3	7	10	-12	13
Jay Beagle	34	VAN	RW	55	2	6	8	-9	38
Ethan Bear	22	EDM	D	71	5	16	21	-4	33
J.C. Beaudin	22	OTT	C	22	0	1	1	-4	7
Nicolas Beaudin	20	CHI	D	1	0	0	0	1	0
Nathan Beaulieu	27	WPG	D	38	1	7	8	15	29
Anthony Beauvillier	22	NYI	LW	68	18	21	39	-11	15
Pierre-Edouard Bellemare	34	COL	LW	69	9	13	22	2	17
Kieffer Bellows	21	NYI	LW	8	2	1	3	3	2
Emil Bemstrom	20	CBJ	C	56	10	10	20	-10	8
Jamie Benn	30	DAL	LW	69	19	20	39	-4	53
Jordie Benn	32	VAN	D	44	1	6	7	-7	17
Sam Bennett	23	CGY	C	52	8	4	12	-1	36
Matt Benning	25	EDM	D	43	1	7	8	8	15
Tyler Benson	21	EDM	LW	7	0	1	1	-1	0
Patrice Bergeron	34	BOS	C	61	31	25	56	23	28
Lean Bergmann	21	SJS	F	12	0	1	1	-6	4
Tyler Bertuzzi	24	DET	LW	71	21	27	48	-23	40
Alex Biega	31	DET	D	49	0	3	3	-9	24
Jake Bischoff	25	VEG	D	4	0	0	0	-2	4
Clark Bishop	23	CAR	C	5	0	1	1	-2	4
Anthony Bitetto	29	WPG	D	51	0	8	8	3	32
Anders Bjork	23	BOS	LW	58	9	10	19	5	10
Oliver Bjorkstrand	24	CBJ	RW	49	21	15	36	8	12
Tobias Bjornfot	18	LAK	D	3	0	0	0	-4	0
Nick Bjugstad	27	PIT	C	13	1	1	2	3	8
Colin Blackwell	26	NSH	C	27	3	7	10	7	10
Sammy Blais	23	STL	LW	40	6	7	13	-2	20
Joseph Blandisi	25	PIT	C	21	2	3	5	-3	10
Joachim Blichfeld	21	SJS	W	3	0	0	0	-2	2
Anton Blidh	24	BOS	LW	7	0	0	0	-1	0
Teddy Blueger	25	PIT	C	69	9	13	22	2	25
Mikkel Boedker	30	OTT	RW	20	2	2	4	-1	0
Brock Boeser	22	VAN	RW	57	16	29	45	4	14
Zach Bogosian	29	TOT	D	27	1	6	7	0	22
Zach Bogosian	29	BUF	D	19	1	4	5	0	10
Zach Bogosian	29	TBL	D	8	0	2	2	0	12
Nick Bonino	31	NSH	C	67	18	17	35	17	16
Adam Boqvist	19	CHI	D	41	4	9	13	-3	6
Jesper Boqvist	21	NJD	C	35	4	0	4	-11	8
Henrik Borgström	22	FLA	C	4	0	0	0	-2	2
Mark Borowiecki	30	OTT	D	53	7	11	18	1	58
Robert Bortuzzo	30	STL	D	42	2	4	6	12	21
Gabriel Bourque	29	WPG	LW	52	2	4	6	-1	7
Jay Bouwmeester	36	STL	D	56	1	8	9	6	20
Madison Bowey	24	DET	D	53	3	14	17	-16	34
Johnny Boychuk	36	NYI	D	64	2	9	11	-11	14
Travis Boyd	26	WSH	C	24	3	7	10	9	2
Brian Boyle	35	FLA	C	39	6	9	15	-5	17
Tyler Bozak	33	STL	C	67	13	16	29	0	10
Erik Brannstrom	20	OTT	D	31	0	4	4	-9	16
Derick Brassard	32	NYI	C	66	10	22	32	-2	16
Jesper Bratt	21	NJD	W	60	16	16	32	-6	6
Justin Braun	32	PHI	D	62	3	16	19	-2	18
T.J. Brodie	29	CGY	D	64	4	15	19	7	36
Jonas Brodin	26	MIN	D	69	2	26	28	15	24
Jonny Brodzinski	26	SJS	C	3	0	1	1	0	0
Adam Brooks	23	TOR	C	7	0	3	3	1	0
Troy Brouwer	34	STL	RW	13	1	0	1	1	7
Connor Brown	26	OTT	RW	71	16	27	43	-6	24
Dustin Brown	35	LAK	RW	66	17	18	35	-1	22
Josh Brown	26	FLA	D	56	3	5	8	1	39
Logan Brown	21	OTT	C	23	1	7	8	0	4
Patrick Brown	27	VEG	C	1	1	0	1	0	0
Pavel Buchnevich	24	NYR	LW	68	16	30	46	2	24
Connor Bunnaman	21	PHI	F	21	1	1	2	7	2
Andre Burakovsky	24	COL	LW	58	20	25	45	11	22
Brent Burns	34	SJS	D	70	12	33	45	-22	34
Will Butcher	25	NJD	D	56	4	17	21	-8	6
Paul Byron	30	MTL	C	29	4	6	10	5	4
Nicholas Caamano	21	DAL	RW	12	1	1	2	2	4
Drake Caggiula	25	CHI	LW	40	9	6	15	-3	32
Matt Calvert	30	COL	LW	50	12	13	25	13	39
Kyle Capobianco	22	ARI	D	9	1	0	1	-1	2
Paul Carey	31	BOS	C	1	0	0	0	-1	0
Brandon Carlo	23	BOS	D	67	4	15	19	16	33
John Carlson	30	WSH	D	69	15	60	75	12	26
Gabriel Carlsson	23	CBJ	D	6	0	0	0	-1	2
Lucas Carlsson	22	CHI	D	6	0	1	1	3	0
Ryan Carpenter	29	CHI	C	69	3	12	15	-6	28
Daniel Carr	28	NSH	LW	11	1	0	1	-5	4
Connor Carrick	25	NJD	D	29	1	5	6	-6	17
Sam Carrick	27	ANA	C	9	1	1	2	-3	0
Trevor Carrick	25	SJS	D	3	0	0	0	0	5
Alexandre Carrier	23	NSH	D	3	0	0	0	2	2
William Carrier	25	VEG	LW	71	7	12	19	0	39
Jeff Carter	35	LAK	C	60	17	10	27	-21	36
Colby Cave	25	EDM	C	11	1	0	1	-3	4
Cody Ceci	26	TOR	D	56	1	7	8	7	20
Peter Cehlarik	24	BOS	LW	3	0	1	1	-1	2
Erik Cernak	22	TBL	D	67	5	7	12	11	59
Thomas Chabot	23	OTT	D	71	6	33	39	-18	42
Michael Chaput	27	ARI	C	2	0	0	0	-2	2
Zdeno Chara	42	BOS	D	68	5	9	14	26	60
Ben Chiarot	28	MTL	D	69	9	12	21	5	61
Alex Chiasson	29	EDM	RW	65	11	13	24	-3	42
Andrei Chibisov	26	WPG	F	2	0	0	0	0	0
Filip Chlapik	22	OTT	C	31	3	3	6	-7	10
Dennis Cholowski	21	DET	D	36	2	6	8	-26	6
Jakob Chychrun	21	ARI	D	63	12	14	26	4	38
Filip Chytil	20	NYR	C	60	14	9	23	-7	10
Anthony Cirelli	22	TBL	C	68	16	28	44	28	30
Casey Cizikas	28	NYI	C	48	10	4	14	12	41
Fredrik Claesson	27	NJD	D	5	1	1	2	1	0
Kale Clague	21	LAK	D	4	0	0	0	-3	2
Kyle Clifford	29	TOT	LW	69	7	10	17	-7	68
Kyle Clifford	29	LAK	LW	53	6	8	14	-6	45
Kyle Clifford	29	TOR	LW	16	1	2	3	-1	23
Connor Clifton	24	BOS	D	31	2	0	2	4	12
Cal Clutterbuck	32	NYI	RW	37	3	4	7	6	22
Braydon Coburn	34	TBL	D	40	1	3	4	5	16
Andrew Cogliano	32	DAL	LW	68	3	11	14	2	30
Ian Cole	30	COL	D	65	4	22	26	21	36
Blake Coleman	28	TOT	C	66	21	11	32	0	56
Blake Coleman	28	NJD	C	57	21	10	31	-2	40
Blake Coleman	28	TBL	C	9	0	1	1	2	16
Blake Comeau	33	DAL	RW	55	8	8	16	-6	36
J.T. Compher	24	COL	LW	67	11	20	31	9	18
Max Comtois	21	ANA	LW	29	5	6	11	-4	24
Cory Conacher	30	TBL	LW	4	0	1	1	-2	4
Kevin Connauton	29	COL	D	4	0	0	0	-2	0
Brett Connolly	27	FLA	RW	69	19	14	33	-3	26
Kyle Connor	23	WPG	LW	71	38	35	73	4	34
Andrew Copp	25	WPG	C	63	10	16	26	-3	10
Nick Cousins	26	TOT	C	65	10	15	25	0	35
Nick Cousins	26	MTL	C	58	9	13	22	1	33
Nick Cousins	26	VEG	C	7	1	2	3	-1	2
Logan Couture	30	SJS	C	52	16	23	39	0	18
Sean Couturier	27	PHI	C	69	22	37	59	21	30
Charlie Coyle	27	BOS	C	70	16	21	37	9	21
Sidney Crosby	32	PIT	C	41	16	31	47	-8	15
Lawson Crouse	22	ARI	LW	66	15	10	25	0	33
Austin Czarnik	27	CGY	C	8	2	1	3	1	0
Kirby Dach	19	CHI	C	64	8	15	23	-1	24
Evgenii Dadonov	30	FLA	RW	69	25	22	47	-7	10
Rasmus Dahlin	19	BUF	D	59	4	36	40	-7	38
Carl Dahlstrom	25	WPG	D	15	0	1	1	-4	6
Michael Dal Colle	23	NYI	LW	53	4	6	10	-8	12
Trevor Daley	36	DET	D	43	0	7	7	-22	20
Phillip Danault	26	MTL	LW	71	13	34	47	18	32
Marko Daňo	25	CBJ	C	3	0	0	0	-1	2
Brandon Davidson	28	TOT	D	12	0	0	0	-3	0
Brandon Davidson	28	CGY	D	7	0	0	0	-2	0
Brandon Davidson	28	SJS	D	5	0	0	0	-1	0
Jonathan Davidsson	22	OTT	RW	6	0	1	1	0	0
Calvin de Haan	28	CHI	D	29	1	5	6	10	10
Jacob de La Rose	24	TOT	LW	50	2	7	9	2	10
Jacob de La Rose	24	STL	LW	34	1	4	5	-1	6
Jacob de La Rose	24	DET	LW	16	1	3	4	3	4
Chase De Leo	24	ANA	C	1	0	0	0	0	0
Jean-Sebastien Dea	25	BUF	C	3	0	0	0	0	0
Anthony DeAngelo	24	NYR	D	68	15	38	53	12	47
Alex DeBrincat	22	CHI	RW	70	18	27	45	-10	15
Jake Debrusk	23	BOS	LW	65	19	16	35	-1	14
Danny DeKeyser	29	DET	D	8	0	4	4	0	4
